A.1,A.2,A.3,A.4,B.1,B.2,B.3,B.4,C.1,C.2,C.3,C.4,D.1,D.2,D.3,D.4,E.1,E.2,E.3,E.4,F.1,F.2,F.3,F.4
17.291,17.0991,16.6573,16.9009,17.0673,17.5895,16.9639,17.2409,15.7917,16.1627,16.3873,16.7004,16.6217,16.5655,16.2618,16.5476,17.0875,17.4059,17.3817,16.3731,17.0181,17.2618,17.1501,17.3247
14.7445,15.1381,14.2819,14.3738,14.6053,14.2952,13.8157,14.4931,13.7136,14.3626,14.9763,15.1221,14.509,15.1031,14.3748,15.3263,14.6201,13.4352,13.9205,13.1739,14.1382,14.1597,14.2874,14.9308
15.2336,16.0451,15.74,15.2297,14.9777,15.8904,15.3563,15.9335,15.4754,15.4207,15.7331,15.4972,15.726,15.2461,15.3005,15.5581,13.7674,13.4127,14.0195,12.4253,12.5942,13.592,13.0932,15.3054
17.2692,17.3817,17.087,17.2359,16.3971,17.1907,16.8656,16.7344,16.651,17.9545,17.9859,17.6155,17.3014,17.181,17.3893,17.2205,16.5275,17.473,17.1389,16.7562,16.7932,16.7538,16.9139,17.069
16.5497,16.0677,15.8424,16.5146,16.7711,16.7188,16.7711,16.9492,16.4188,16.48,16.2897,15.706,16.5579,16.9165,16.9561,16.8233,15.1122,14.6245,15.0646,12.924,14.5916,14.6894,14.9409,16.332
17.1669,17.5288,17.6395,17.1534,17.1335,17.4858,17.0307,17.287,17.4527,17.6984,17.6109,17.9309,17.246,17.26,16.9361,17.0485,16.8413,16.9377,17.2135,16.8962,15.6518,14.5715,16.3175,16.2563
21.5115,22.231,22.2157,21.7991,22.1882,22.5061,22.0782,22.3198,22.0844,22.3367,22.2047,22.1259,22.3438,22.0417,21.9247,22.0625,21.6312,21.7087,21.6081,21.6463,20.6699,20.9828,21.4044,21.7223
13.024,14.3199,13.6827,11.5585,13.5002,12.0506,12.6497,12.4128,13.3348,14.2669,14.6478,14.3313,12.0872,12.787,12.6444,13.1396,13.9218,12.7909,14.4843,13.7682,13.8766,12.814,13.2634,13.3817
15.7396,16.4791,16.0972,15.8553,15.8345,15.9017,15.7932,16.0707,16.2658,16.443,16.3472,16.2266,15.9327,15.9621,15.4759,15.8619,14.3798,14.0035,15.5603,13.4284,11.2364,12.0195,12.7021,13.284
12.4922,13.5086,13.3133,12.6906,18.2,15.4908,18.1614,14.8615,16.3134,15.5584,12.9193,12.9237,17.8347,10.5251,19.4288,17.7401,17.43,17.1486,15.0839,16.2976,17.4334,18.3346,17.5214,16.8951
